board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,10,74,29,10,0,4468,566480
3,1,1.0,3,10,75,27,10,0,4549,578920
3,1,1.0,3,10,76,14,0,0,4591,582690
3,1,1.0,3,10,77,14,0,10,4632,586510
3,1,1.0,3,10,78,29,10,0,4718,600660
3,1,1.0,3,10,79,22,0,10,4784,609160
3,1,1.0,3,10,80,11,10,0,4817,611710
3,1,1.0,3,10,81,14,0,0,4859,615570
3,1,1.0,3,10,82,25,0,0,4934,626390
3,1,1.0,3,10,83,19,10,0,4990,633020
3,1,1.0,3,10,84,24,0,10,5062,643040
3,1,1.0,3,10,85,22,0,0,5126,651650
3,1,1.0,3,10,86,18,0,10,5179,657630
3,1,1.0,3,10,87,22,0,10,5245,666180
3,1,1.0,3,10,88,19,0,0,5302,672680
3,1,1.0,3,10,89,10,0,10,5332,674860
3,1,1.0,3,10,90,17,0,0,5383,680220
3,1,1.0,3,10,91,30,0,10,5473,695340
3,1,1.0,3,10,92,15,10,0,5518,699710
3,1,1.0,3,10,93,32,0,10,5613,716840
3,1,1.0,3,10,94,23,0,0,5680,726120
3,1,1.0,3,10,95,15,10,0,5725,730440
3,1,1.0,3,10,96,16,0,10,5773,735180
3,1,1.0,3,10,97,12,0,10,5809,738100
3,1,1.0,3,10,98,26,0,10,5887,749800
3,1,1.0,3,10,99,15,0,0,5932,754160
3,1,1.0,3,100,0,16,0,10,48,46800
3,1,1.0,3,100,1,23,10,0,117,137800
3,1,1.0,3,100,2,25,0,0,192,243600
3,1,1.0,3,100,3,25,10,0,266,350000
3,1,1.0,3,100,4,22,0,10,332,433900
3,1,1.0,3,100,5,28,0,0,415,564800
3,1,1.0,3,100,6,26,0,10,493,679800
3,1,1.0,3,100,7,20,0,10,553,750300
3,1,1.0,3,100,8,26,0,0,631,865000
3,1,1.0,3,100,9,19,0,0,688,929100
3,1,1.0,3,100,10,32,0,0,784,1099500
3,1,1.0,3,100,11,16,0,10,832,1146200
3,1,1.0,3,100,12,16,0,0,879,1193200
3,1,1.0,3,100,13,21,10,0,942,1270300
3,1,1.0,3,100,14,13,10,0,981,1303200
3,1,1.0,3,100,15,11,0,0,1013,1327400
3,1,1.0,3,100,16,32,0,0,1107,1498100
3,1,1.0,3,100,17,23,10,0,1176,1589200
3,1,1.0,3,100,18,12,0,10,1211,1617300
3,1,1.0,3,100,19,26,0,0,1288,1732200
3,1,1.0,3,100,20,24,0,10,1360,1831500
3,1,1.0,3,100,21,9,0,0,1387,1849200
3,1,1.0,3,100,22,36,0,0,1493,2062400
3,1,1.0,3,100,23,35,10,0,1597,2264900
3,1,1.0,3,100,24,26,0,10,1674,2379500
3,1,1.0,3,100,25,26,0,10,1751,2494700
3,1,1.0,3,100,26,15,0,0,1796,2536600
3,1,1.0,3,100,27,13,10,0,1835,2568600
3,1,1.0,3,100,28,18,0,10,1889,2626900
3,1,1.0,3,100,29,18,0,0,1943,2685400
3,1,1.0,3,100,30,12,0,0,1979,2713800
3,1,1.0,3,100,31,15,0,0,2024,2756200
3,1,1.0,3,100,32,11,10,0,2057,2780400
3,1,1.0,3,100,33,24,0,10,2129,2879200
3,1,1.0,3,100,34,10,0,0,2159,2899800
3,1,1.0,3,100,35,30,0,10,2248,3050800
3,1,1.0,3,100,36,33,10,0,2346,3231800
3,1,1.0,3,100,37,21,0,0,2408,3308900
3,1,1.0,3,100,38,13,0,0,2447,3341400
3,1,1.0,3,100,39,11,0,0,2480,3365600
3,1,1.0,3,100,40,29,0,0,2566,3506700
3,1,1.0,3,100,41,15,10,0,2611,3548500
3,1,1.0,3,100,42,23,10,0,2680,3640000
3,1,1.0,3,100,43,18,0,10,2734,3698500
3,1,1.0,3,100,44,10,0,10,2764,3719600
3,1,1.0,3,100,45,22,0,0,2830,3804100
3,1,1.0,3,100,46,21,10,0,2893,3881800
3,1,1.0,3,100,47,24,0,0,2965,3980900
3,1,1.0,3,100,48,20,0,10,3025,4052500
3,1,1.0,3,100,49,25,0,0,3100,4160000
3,1,1.0,3,100,50,16,0,0,3148,4207600
3,1,1.0,3,100,51,17,0,0,3199,4260500
3,1,1.0,3,100,52,14,0,10,3241,4298200
3,1,1.0,3,100,53,27,0,0,3322,4422700
3,1,1.0,3,100,54,16,0,0,3369,4470200
3,1,1.0,3,100,55,14,0,10,3411,4507600
3,1,1.0,3,100,56,20,0,0,3471,4579200
3,1,1.0,3,100,57,23,10,0,3540,4671400
3,1,1.0,3,100,58,24,0,10,3612,4770200
3,1,1.0,3,100,59,11,0,0,3645,4795900
3,1,1.0,3,100,60,23,0,0,3714,4888500
3,1,1.0,3,100,61,12,0,10,3750,4917500
3,1,1.0,3,100,62,24,0,10,3822,5017300
3,1,1.0,3,100,63,26,0,10,3900,5133100
3,1,1.0,3,100,64,27,10,0,3980,5257200
3,1,1.0,3,100,65,20,0,10,4040,5328900
3,1,1.0,3,100,66,16,0,10,4088,5376500
3,1,1.0,3,100,67,9,10,0,4115,5394300
3,1,1.0,3,100,68,29,10,0,4202,5535900
3,1,1.0,3,100,69,26,0,10,4279,5651900
3,1,1.0,3,100,70,10,0,0,4309,5673300
3,1,1.0,3,100,71,19,10,0,4366,5738100
3,1,1.0,3,100,72,14,0,10,4408,5775500
3,1,1.0,3,100,73,17,10,0,4459,5828900
3,1,1.0,3,100,74,13,0,0,4498,5861700
3,1,1.0,3,100,75,18,0,0,4551,5920100
3,1,1.0,3,100,76,16,0,10,4599,5967700
3,1,1.0,3,100,77,16,0,10,4647,6015300
3,1,1.0,3,100,78,23,0,0,4716,6107600
3,1,1.0,3,100,79,17,0,0,4767,6161000
3,1,1.0,3,100,80,25,0,0,4841,6269000
3,1,1.0,3,100,81,24,0,10,4913,6368900
3,1,1.0,3,100,82,22,0,10,4979,6454200
3,1,1.0,3,100,83,20,0,10,5039,6526000
3,1,1.0,3,100,84,10,0,10,5069,6547900
3,1,1.0,3,100,85,24,0,10,5141,6648100
3,1,1.0,3,100,86,25,0,0,5216,6756300
3,1,1.0,3,100,87,12,0,10,5252,6785700
3,1,1.0,3,100,88,26,0,10,5330,6901500
3,1,1.0,3,100,89,15,10,0,5375,6944400
3,1,1.0,3,100,90,13,10,0,5414,6977900
3,1,1.0,3,100,91,22,0,0,5479,7062800
3,1,1.0,3,100,92,26,0,10,5557,7179100
3,1,1.0,3,100,93,19,10,0,5614,7244100
3,1,1.0,3,100,94,9,10,0,5641,7262200
3,1,1.0,3,100,95,31,10,0,5733,7423100
3,1,1.0,3,100,96,30,0,10,5822,7574700
3,1,1.0,3,100,97,12,0,10,5858,7604400
3,1,1.0,3,100,98,30,0,10,5948,7756100
3,1,1.0,3,100,99,23,0,0,6016,7848200
3,3,1.0,3,1,0,27,0,0,206,1361
3,3,1.0,3,1,1,29,0,0,434,2920
3,3,1.0,3,1,2,27,10,0,650,4288
3,3,1.0,3,1,3,34,0,10,922,6363
3,3,1.0,3,1,4,21,10,0,1082,7232
3,3,1.0,3,1,5,18,0,10,1229,7904
3,3,1.0,3,1,6,14,0,10,1328,8341
3,3,1.0,3,1,7,15,0,0,1442,8831
3,3,1.0,3,1,8,23,0,0,1620,9860
3,3,1.0,3,1,9,10,0,10,1699,10114
3,3,1.0,3,1,10,18,0,10,1842,10783
3,3,1.0,3,1,11,15,0,0,1948,11267
3,3,1.0,3,1,12,20,0,10,2106,12069
3,3,1.0,3,1,13,13,10,0,2197,12456
3,3,1.0,3,1,14,20,0,0,2343,13256
3,3,1.0,3,1,15,20,0,10,2504,14066
3,3,1.0,3,1,16,21,10,0,2653,14928
3,3,1.0,3,1,17,24,0,10,2825,16028
3,3,1.0,3,1,18,23,10,0,2992,17051
3,3,1.0,3,1,19,12,0,0,3082,17390
3,3,1.0,3,1,20,26,0,10,3272,18667
3,3,1.0,3,1,21,31,10,0,3506,20423
3,3,1.0,3,1,22,24,0,10,3693,21540
3,3,1.0,3,1,23,29,10,0,3911,23101
3,3,1.0,3,1,24,33,0,0,4170,25070
3,3,1.0,3,1,25,29,10,0,4380,26623
3,3,1.0,3,1,26,19,10,0,4517,27359
3,3,1.0,3,1,27,23,0,0,4680,28382
3,3,1.0,3,1,28,25,10,0,4870,29579
3,3,1.0,3,1,29,19,10,0,5010,30314
3,3,1.0,3,1,30,19,0,0,5156,31054
3,3,1.0,3,1,31,15,0,0,5263,31544
3,3,1.0,3,1,32,11,10,0,5333,31844
3,3,1.0,3,1,33,10,0,10,5403,32101
3,3,1.0,3,1,34,16,0,10,5525,32652
3,3,1.0,3,1,35,23,10,0,5692,33679
3,3,1.0,3,1,36,17,10,0,5807,34284
3,3,1.0,3,1,37,17,0,0,5925,34890
3,3,1.0,3,1,38,21,10,0,6071,35762
3,3,1.0,3,1,39,20,0,10,6206,36571
3,3,1.0,3,1,40,11,10,0,6280,36867
3,3,1.0,3,1,41,12,0,0,6371,37209
3,3,1.0,3,1,42,21,10,0,6526,38080
3,3,1.0,3,1,43,22,0,10,6702,39033
3,3,1.0,3,1,44,18,0,10,6835,39698
3,3,1.0,3,1,45,11,0,0,6917,39991
3,3,1.0,3,1,46,22,0,10,7089,40942
3,3,1.0,3,1,47,25,10,0,7282,42140
3,3,1.0,3,1,48,20,0,0,7416,42937
3,3,1.0,3,1,49,12,0,10,7506,43276
3,3,1.0,3,1,50,9,10,0,7574,43501
3,3,1.0,3,1,51,27,10,0,7782,44876
3,3,1.0,3,1,52,19,10,0,7928,45612
3,3,1.0,3,1,53,22,0,10,8090,46560
3,3,1.0,3,1,54,14,0,10,8190,46999
3,3,1.0,3,1,55,37,0,0,8444,49404
3,3,1.0,3,1,56,19,0,0,8587,50147
3,3,1.0,3,1,57,20,0,0,8724,50954
3,3,1.0,3,1,58,20,0,10,8881,51764
