board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player
3,3,0.9,5,8,23,15,10,0
3,3,0.9,5,8,24,11,10,0
3,3,0.9,5,8,25,18,0,0
3,3,0.9,5,8,26,11,10,0
3,3,0.9,5,8,27,16,0,10
3,3,0.9,5,8,28,15,10,0
3,3,0.9,5,8,29,13,10,0
3,3,0.9,5,8,30,13,10,0
3,3,0.9,5,8,31,23,10,0
3,3,0.9,5,8,32,15,10,0
3,3,0.9,5,8,33,16,0,0
3,3,0.9,5,8,34,19,10,0
3,3,0.9,5,8,35,13,10,0
3,3,0.9,5,8,36,17,0,0
3,3,0.9,5,8,37,23,10,0
3,3,0.9,5,8,38,17,10,0
3,3,0.9,5,8,39,19,0,0
3,3,0.9,5,8,40,14,0,0
3,3,0.9,5,8,41,27,0,0
3,3,0.9,5,8,42,11,10,0
3,3,0.9,5,8,43,13,10,0
3,3,0.9,5,8,44,16,0,0
3,3,0.9,5,8,45,14,0,0
3,3,0.9,5,8,46,19,10,0
3,3,0.9,5,8,47,14,0,10
3,3,0.9,5,8,48,13,10,0
3,3,0.9,5,8,49,15,10,0
3,3,0.9,5,8,50,13,10,0
3,3,0.9,5,8,51,19,10,0
3,3,0.9,5,8,52,13,10,0
3,3,0.9,5,8,53,14,0,0
3,3,0.9,5,8,54,14,0,0
3,3,0.9,5,8,55,13,10,0
3,3,0.9,5,8,56,11,10,0
3,3,0.9,5,8,57,17,10,0
3,3,0.9,5,8,58,13,10,0
3,3,0.9,5,8,59,17,10,0
3,3,0.9,5,8,60,13,10,0
3,3,0.9,5,8,61,14,0,0
3,3,0.9,5,8,62,23,10,0
3,3,0.9,5,8,63,17,10,0
3,3,0.9,5,8,64,13,10,0
3,3,0.9,5,8,65,12,0,0
3,3,0.9,5,8,66,11,10,0
3,3,0.9,5,8,67,13,10,0
3,3,0.9,5,8,68,14,0,0
3,3,0.9,5,8,69,17,10,0
3,3,0.9,5,8,70,14,0,0
3,3,0.9,5,8,71,17,10,0
3,3,0.9,5,8,72,20,0,0
3,3,0.9,5,8,73,22,0,0
3,3,0.9,5,8,74,17,10,0
3,3,0.9,5,8,75,14,0,0
3,3,0.9,5,8,76,18,0,0
3,3,0.9,5,8,77,20,0,10
3,3,0.9,5,8,78,9,10,0
3,3,0.9,5,8,79,29,10,0
3,3,0.9,5,8,80,23,0,0
3,3,0.9,5,8,81,18,0,0
3,3,0.9,5,8,82,26,0,10
3,3,0.9,5,8,83,34,0,0
3,3,0.9,5,8,84,21,0,0
3,3,0.9,5,8,85,23,10,0
3,3,0.9,5,8,86,18,0,10
3,3,0.9,5,8,87,15,10,0
3,3,0.9,5,8,88,11,10,0
3,3,0.9,5,8,89,20,0,0
3,3,0.9,5,8,90,16,0,0
3,3,0.9,5,8,91,19,10,0
3,3,0.9,5,8,92,13,10,0
3,3,0.9,5,8,93,15,10,0
3,3,0.9,5,8,94,14,0,0
3,3,0.9,5,8,95,14,0,0
3,3,0.9,5,8,96,15,10,0
3,3,0.9,5,8,97,21,10,0
3,3,0.9,5,8,98,19,10,0
3,3,0.9,5,8,99,22,0,0
3,3,0.9,5,32,0,12,0,10
3,3,0.9,5,32,1,11,10,0
3,3,0.9,5,32,2,21,10,0
3,3,0.9,5,32,3,15,10,0
3,3,0.9,5,32,4,9,10,0
3,3,0.9,5,32,5,23,10,0
3,3,0.9,5,32,6,13,10,0
3,3,0.9,5,32,7,10,0,0
3,3,0.9,5,32,8,30,0,0
3,3,0.9,5,32,9,21,10,0
3,3,0.9,5,32,10,13,10,0
3,3,0.9,5,32,11,23,10,0
3,3,0.9,5,32,12,21,10,0
3,3,0.9,5,32,13,17,10,0
3,3,0.9,5,32,14,15,10,0
3,3,0.9,5,32,15,15,10,0
3,3,0.9,5,32,16,15,10,0
3,3,0.9,5,32,17,19,10,0
3,3,0.9,5,32,18,11,10,0
3,3,0.9,5,32,19,17,0,0
3,3,0.9,5,32,20,18,0,10
3,3,0.9,5,32,21,15,10,0
3,3,0.9,5,32,22,17,10,0
3,3,0.9,5,32,23,21,10,0
3,3,0.9,5,32,24,15,10,0
3,3,0.9,5,32,25,20,0,0
3,3,0.9,5,32,26,11,10,0
3,3,0.9,5,32,27,16,0,0
3,3,0.9,5,32,28,25,10,0
3,3,0.9,5,32,29,23,0,0
3,3,0.9,5,32,30,11,10,0
3,3,0.9,5,32,31,15,10,0
3,3,0.9,5,32,32,19,10,0
3,3,0.9,5,32,33,19,10,0
3,3,0.9,5,32,34,27,10,0
3,3,0.9,5,32,35,22,0,0
3,3,0.9,5,32,36,17,10,0
3,3,0.9,5,32,37,18,0,0
3,3,0.9,5,32,38,22,0,0
3,3,0.9,5,32,39,16,0,0
3,3,0.9,5,32,40,17,10,0
3,3,0.9,5,32,41,29,10,0
3,3,0.9,5,32,42,13,10,0
3,3,0.9,5,32,43,19,10,0
3,3,0.9,5,32,44,35,10,0
3,3,0.9,5,32,45,15,10,0
3,3,0.9,5,32,46,14,0,0
3,3,0.9,5,32,47,15,10,0
3,3,0.9,5,32,48,9,10,0
3,3,0.9,5,32,49,21,0,0
3,3,0.9,5,32,50,14,0,0
3,3,0.9,5,32,51,15,10,0
3,3,0.9,5,32,52,13,10,0
3,3,0.9,5,32,53,9,10,0
3,3,0.9,5,32,54,17,10,0
3,3,0.9,5,32,55,21,10,0
3,3,0.9,5,32,56,27,0,0
3,3,0.9,5,32,57,14,0,0
3,3,0.9,5,32,58,20,0,10
3,3,0.9,5,32,59,15,10,0
3,3,0.9,5,32,60,12,0,0
3,3,0.9,5,32,61,13,10,0
3,3,0.9,5,32,62,17,10,0
3,3,0.9,5,32,63,18,0,0
3,3,0.9,5,32,64,11,10,0
3,3,0.9,5,32,65,15,10,0
3,3,0.9,5,32,66,11,10,0
3,3,0.9,5,32,67,17,10,0
3,3,0.9,5,32,68,15,0,0
3,3,0.9,5,32,69,14,0,0
3,3,0.9,5,32,70,14,0,0
3,3,0.9,5,32,71,18,0,0
3,3,0.9,5,32,72,16,0,0
3,3,0.9,5,32,73,13,0,0
3,3,0.9,5,32,74,22,0,10
3,3,0.9,5,32,75,9,0,0
3,3,0.9,5,32,76,17,10,0
3,3,0.9,5,32,77,14,0,0
3,3,0.9,5,32,78,20,0,0
3,3,0.9,5,32,79,25,10,0
3,3,0.9,5,32,80,30,0,0
3,3,0.9,5,32,81,13,10,0
3,3,0.9,5,32,82,11,10,0
3,3,0.9,5,32,83,14,0,0
3,3,0.9,5,32,84,17,10,0
3,3,0.9,5,32,85,15,10,0
3,3,0.9,5,32,86,10,0,0
3,3,0.9,5,32,87,17,0,0
3,3,0.9,5,32,88,17,10,0
3,3,0.9,5,32,89,15,10,0
3,3,0.9,5,32,90,12,0,0
3,3,0.9,5,32,91,17,10,0
3,3,0.9,5,32,92,9,10,0
3,3,0.9,5,32,93,11,0,0
3,3,0.9,5,32,94,17,10,0
3,3,0.9,5,32,95,9,10,0
3,3,0.9,5,32,96,19,10,0
3,3,0.9,5,32,97,15,10,0
3,3,0.9,5,32,98,21,10,0
3,3,0.9,5,32,99,15,10,0
3,3,1.0,5,1,0,31,10,0
3,3,1.0,5,1,1,16,0,0
3,3,1.0,5,1,2,15,10,0
3,3,1.0,5,1,3,14,0,0
3,3,1.0,5,1,4,22,0,0
3,3,1.0,5,1,5,14,0,10
3,3,1.0,5,1,6,29,10,0
3,3,1.0,5,1,7,18,0,10
3,3,1.0,5,1,8,16,0,0
3,3,1.0,5,1,9,24,0,0
3,3,1.0,5,1,10,13,0,0
3,3,1.0,5,1,11,11,10,0
3,3,1.0,5,1,12,35,10,0
3,3,1.0,5,1,13,9,10,0
3,3,1.0,5,1,14,13,10,0
3,3,1.0,5,1,15,16,0,10
3,3,1.0,5,1,16,17,10,0
3,3,1.0,5,1,17,21,10,0
3,3,1.0,5,1,18,15,10,0
3,3,1.0,5,1,19,9,10,0
3,3,1.0,5,1,20,13,10,0
3,3,1.0,5,1,21,13,10,0
3,3,1.0,5,1,22,13,10,0
3,3,1.0,5,1,23,23,0,0
3,3,1.0,5,1,24,19,0,0
3,3,1.0,5,1,25,33,10,0
3,3,1.0,5,1,26,13,10,0
3,3,1.0,5,1,27,13,10,0
3,3,1.0,5,1,28,15,10,0
3,3,1.0,5,1,29,20,0,10
3,3,1.0,5,1,30,18,0,0
3,3,1.0,5,1,31,10,0,10
3,3,1.0,5,1,32,26,0,0
3,3,1.0,5,1,33,17,0,0
3,3,1.0,5,1,34,14,0,0
3,3,1.0,5,1,35,15,10,0
3,3,1.0,5,1,36,15,10,0
3,3,1.0,5,1,37,34,0,0
3,3,1.0,5,1,38,9,10,0
3,3,1.0,5,1,39,23,0,0
3,3,1.0,5,1,40,17,10,0
3,3,1.0,5,1,41,18,0,0
3,3,1.0,5,1,42,15,10,0
3,3,1.0,5,1,43,25,10,0
3,3,1.0,5,1,44,26,0,0
3,3,1.0,5,1,45,20,0,10
3,3,1.0,5,1,46,12,0,0
3,3,1.0,5,1,47,22,0,0
3,3,1.0,5,1,48,13,10,0
3,3,1.0,5,1,49,26,0,0
3,3,1.0,5,1,50,21,10,0
3,3,1.0,5,1,51,19,10,0
3,3,1.0,5,1,52,17,10,0
3,3,1.0,5,1,53,13,10,0
3,3,1.0,5,1,54,19,0,0
3,3,1.0,5,1,55,21,0,0
3,3,1.0,5,1,56,21,10,0
3,3,1.0,5,1,57,16,0,0
3,3,1.0,5,1,58,13,10,0
3,3,1.0,5,1,59,20,0,10
3,3,1.0,5,1,60,24,0,0
3,3,1.0,5,1,61,11,10,0
3,3,1.0,5,1,62,19,0,0
3,3,1.0,5,1,63,16,0,0
3,3,1.0,5,1,64,14,0,0
3,3,1.0,5,1,65,17,10,0
3,3,1.0,5,1,66,12,0,0
3,3,1.0,5,1,67,12,0,0
3,3,1.0,5,1,68,15,10,0
3,3,1.0,5,1,69,14,0,0
3,3,1.0,5,1,70,21,10,0
3,3,1.0,5,1,71,14,0,10
3,3,1.0,5,1,72,17,10,0
3,3,1.0,5,1,73,14,0,0
3,3,1.0,5,1,74,23,10,0
3,3,1.0,5,1,75,15,0,0
3,3,1.0,5,1,76,22,0,0
3,3,1.0,5,1,77,16,0,10
3,3,1.0,5,1,78,25,10,0
3,3,1.0,5,1,79,12,0,0
3,3,1.0,5,1,80,20,0,0
3,3,1.0,5,1,81,21,10,0
3,3,1.0,5,1,82,15,10,0
3,3,1.0,5,1,83,15,10,0
3,3,1.0,5,1,84,20,0,0
3,3,1.0,5,1,85,15,10,0
3,3,1.0,5,1,86,13,10,0
3,3,1.0,5,1,87,16,0,10
3,3,1.0,5,1,88,17,10,0
3,3,1.0,5,1,89,22,0,0
3,3,1.0,5,1,90,26,0,10
3,3,1.0,5,1,91,15,10,0
3,3,1.0,5,1,92,9,10,0
3,3,1.0,5,1,93,17,10,0
3,3,1.0,5,1,94,16,0,0
3,3,1.0,5,1,95,20,0,10
3,3,1.0,5,1,96,13,10,0
3,3,1.0,5,1,97,12,0,10
3,3,1.0,5,1,98,21,10,0
3,3,1.0,5,1,99,26,0,0
3,3,1.0,5,8,0,19,10,0
3,3,1.0,5,8,1,29,10,0
3,3,1.0,5,8,2,30,0,0
3,3,1.0,5,8,3,16,0,0
3,3,1.0,5,8,4,13,10,0
3,3,1.0,5,8,5,18,0,0
3,3,1.0,5,8,6,17,10,0
3,3,1.0,5,8,7,11,10,0
3,3,1.0,5,8,8,17,10,0
3,3,1.0,5,8,9,17,10,0
3,3,1.0,5,8,10,21,0,0
3,3,1.0,5,8,11,13,10,0
3,3,1.0,5,8,12,9,10,0
3,3,1.0,5,8,13,15,10,0
3,3,1.0,5,8,14,13,10,0
3,3,1.0,5,8,15,16,0,0
3,3,1.0,5,8,16,21,10,0
3,3,1.0,5,8,17,21,10,0
3,3,1.0,5,8,18,23,10,0
3,3,1.0,5,8,19,13,10,0
3,3,1.0,5,8,20,19,10,0
3,3,1.0,5,8,21,11,10,0
3,3,1.0,5,8,22,11,10,0
3,3,1.0,5,8,23,18,0,0
3,3,1.0,5,8,24,13,10,0
3,3,1.0,5,8,25,12,0,0
3,3,1.0,5,8,26,14,0,0
3,3,1.0,5,8,27,21,10,0
3,3,1.0,5,8,28,11,0,0
3,3,1.0,5,8,29,19,10,0
3,3,1.0,5,8,30,12,0,0
3,3,1.0,5,8,31,19,10,0
3,3,1.0,5,8,32,12,0,10
3,3,1.0,5,8,33,14,0,0
3,3,1.0,5,8,34,18,0,0
3,3,1.0,5,8,35,18,0,10
3,3,1.0,5,8,36,16,0,0
3,3,1.0,5,8,37,17,10,0
3,3,1.0,5,8,38,17,10,0
3,3,1.0,5,8,39,10,0,0
3,3,1.0,5,8,40,20,0,0
3,3,1.0,5,8,41,13,10,0
3,3,1.0,5,8,42,14,0,0
3,3,1.0,5,8,43,20,0,10
3,3,1.0,5,8,44,24,0,0
3,3,1.0,5,8,45,14,0,0
3,3,1.0,5,8,46,15,10,0
3,3,1.0,5,8,47,16,0,0
3,3,1.0,5,8,48,24,0,0
3,3,1.0,5,8,49,29,0,0
3,3,1.0,5,8,50,21,10,0
3,3,1.0,5,8,51,17,10,0
3,3,1.0,5,8,52,16,0,0
3,3,1.0,5,8,53,22,0,0
3,3,1.0,5,8,54,37,10,0
3,3,1.0,5,8,55,9,10,0
3,3,1.0,5,8,56,12,0,0
3,3,1.0,5,8,57,10,0,0
3,3,1.0,5,8,58,25,0,0
3,3,1.0,5,8,59,14,0,0
3,3,1.0,5,8,60,11,10,0
3,3,1.0,5,8,61,13,10,0
3,3,1.0,5,8,62,10,0,0
3,3,1.0,5,8,63,15,10,0
3,3,1.0,5,8,64,14,0,0
3,3,1.0,5,8,65,11,10,0
3,3,1.0,5,8,66,18,0,0
3,3,1.0,5,8,67,23,10,0
3,3,1.0,5,8,68,11,10,0
3,3,1.0,5,8,69,9,10,0
3,3,1.0,5,8,70,16,0,0
3,3,1.0,5,8,71,13,10,0
3,3,1.0,5,8,72,17,10,0
3,3,1.0,5,8,73,15,10,0
3,3,1.0,5,8,74,27,10,0
3,3,1.0,5,8,75,16,0,0
3,3,1.0,5,8,76,15,10,0
3,3,1.0,5,8,77,25,10,0
