board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,16,92,15,10,0,4702,862832
3,1,1.0,3,16,93,27,10,0,4783,882688
3,1,1.0,3,16,94,10,0,0,4813,886112
3,1,1.0,3,16,95,10,0,0,4843,889552
3,1,1.0,3,16,96,13,10,0,4881,895040
3,1,1.0,3,16,97,23,10,0,4950,909856
3,1,1.0,3,16,98,15,10,0,4995,916816
3,1,1.0,3,16,99,13,10,0,5034,922256
3,1,1.0,3,64,0,12,0,0,37,17472
3,1,1.0,3,64,1,9,10,0,64,28224
3,1,1.0,3,64,2,13,10,0,103,48576
3,1,1.0,3,64,3,11,10,0,136,63744
3,1,1.0,3,64,4,11,10,0,169,78912
3,1,1.0,3,64,5,17,10,0,220,111808
3,1,1.0,3,64,6,13,10,0,259,131904
3,1,1.0,3,64,7,12,0,0,295,149504
3,1,1.0,3,64,8,17,10,0,346,182848
3,1,1.0,3,64,9,17,10,0,396,216128
3,1,1.0,3,64,10,9,10,0,423,226944
3,1,1.0,3,64,11,11,10,0,456,242560
3,1,1.0,3,64,12,9,10,0,483,253696
3,1,1.0,3,64,13,11,10,0,515,269312
3,1,1.0,3,64,14,23,10,0,584,327872
3,1,1.0,3,64,15,16,0,0,632,357952
3,1,1.0,3,64,16,11,10,0,665,373312
3,1,1.0,3,64,17,11,10,0,698,389184
3,1,1.0,3,64,18,16,0,0,746,418944
3,1,1.0,3,64,19,12,0,0,782,437056
3,1,1.0,3,64,20,13,10,0,821,457664
3,1,1.0,3,64,21,15,10,0,865,484416
3,1,1.0,3,64,22,27,10,0,944,563328
3,1,1.0,3,64,23,15,10,0,989,590080
3,1,1.0,3,64,24,18,0,0,1041,627200
3,1,1.0,3,64,25,20,0,0,1100,672640
3,1,1.0,3,64,26,13,10,0,1138,694080
3,1,1.0,3,64,27,21,10,0,1201,743936
3,1,1.0,3,64,28,14,0,0,1243,768128
3,1,1.0,3,64,29,15,10,0,1288,794816
3,1,1.0,3,64,30,17,10,0,1339,828864
3,1,1.0,3,64,31,17,10,0,1389,862720
3,1,1.0,3,64,32,9,10,0,1416,873920
3,1,1.0,3,64,33,15,10,0,1461,900672
3,1,1.0,3,64,34,9,10,0,1488,911744
3,1,1.0,3,64,35,21,10,0,1551,961088
3,1,1.0,3,64,36,11,10,0,1584,976832
3,1,1.0,3,64,37,19,10,0,1640,1017984
3,1,1.0,3,64,38,13,10,0,1679,1038912
3,1,1.0,3,64,39,19,10,0,1736,1080064
3,1,1.0,3,64,40,17,10,0,1787,1114048
3,1,1.0,3,64,41,11,10,0,1820,1129856
3,1,1.0,3,64,42,25,10,0,1893,1198976
3,1,1.0,3,64,43,11,10,0,1926,1214848
3,1,1.0,3,64,44,9,10,0,1953,1225728
3,1,1.0,3,64,45,17,10,0,2004,1259264
3,1,1.0,3,64,46,9,10,0,2031,1270080
3,1,1.0,3,64,47,13,10,0,2070,1291008
3,1,1.0,3,64,48,35,10,0,2174,1420096
3,1,1.0,3,64,49,9,10,0,2201,1431424
3,1,1.0,3,64,50,15,10,0,2246,1458624
3,1,1.0,3,64,51,11,10,0,2279,1474752
3,1,1.0,3,64,52,11,10,0,2312,1490496
3,1,1.0,3,64,53,25,10,0,2386,1559168
3,1,1.0,3,64,54,19,10,0,2443,1600640
3,1,1.0,3,64,55,9,10,0,2470,1612544
3,1,1.0,3,64,56,13,10,0,2508,1633856
3,1,1.0,3,64,57,14,0,0,2550,1658112
3,1,1.0,3,64,58,21,10,0,2613,1708096
3,1,1.0,3,64,59,15,10,0,2657,1735936
3,1,1.0,3,64,60,13,10,0,2695,1756800
3,1,1.0,3,64,61,16,0,0,2743,1787392
3,1,1.0,3,64,62,17,10,0,2794,1821632
3,1,1.0,3,64,63,11,10,0,2827,1837824
3,1,1.0,3,64,64,11,10,0,2860,1853952
3,1,1.0,3,64,65,11,10,0,2893,1870016
3,1,1.0,3,64,66,11,10,0,2925,1886464
3,1,1.0,3,64,67,11,10,0,2957,1902784
3,1,1.0,3,64,68,17,10,0,3007,1936640
3,1,1.0,3,64,69,15,10,0,3052,1964544
3,1,1.0,3,64,70,11,10,0,3085,1981120
3,1,1.0,3,64,71,13,10,0,3122,2002432
3,1,1.0,3,64,72,15,10,0,3165,2029760
3,1,1.0,3,64,73,13,10,0,3204,2051264
3,1,1.0,3,64,74,17,10,0,3253,2086016
3,1,1.0,3,64,75,13,10,0,3292,2107968
3,1,1.0,3,64,76,9,10,0,3319,2119616
3,1,1.0,3,64,77,17,10,0,3369,2154112
3,1,1.0,3,64,78,23,10,0,3437,2213824
3,1,1.0,3,64,79,15,10,0,3482,2241024
3,1,1.0,3,64,80,13,10,0,3521,2262144
3,1,1.0,3,64,81,15,10,0,3564,2289344
3,1,1.0,3,64,82,20,0,0,3623,2335488
3,1,1.0,3,64,83,15,10,0,3668,2363008
3,1,1.0,3,64,84,15,10,0,3713,2390656
3,1,1.0,3,64,85,13,10,0,3752,2412160
3,1,1.0,3,64,86,13,10,0,3791,2433728
3,1,1.0,3,64,87,13,10,0,3830,2455808
3,1,1.0,3,64,88,15,10,0,3875,2483136
3,1,1.0,3,64,89,17,10,0,3926,2516736
3,1,1.0,3,64,90,15,10,0,3970,2544192
3,1,1.0,3,64,91,19,0,0,4026,2585984
3,1,1.0,3,64,92,19,10,0,4083,2627840
3,1,1.0,3,64,93,15,10,0,4127,2655424
3,1,1.0,3,64,94,11,0,0,4159,2671680
3,1,1.0,3,64,95,16,0,0,4205,2703040
3,1,1.0,3,64,96,14,0,0,4247,2728064
3,1,1.0,3,64,97,15,10,0,4292,2755776
3,1,1.0,3,64,98,19,10,0,4349,2798016
